name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Festuca rubra agg.,Festuca,Festuca rubra agg.,1,1
Festuca rupicola,Festuca ovina agg.,Festuca ovina agg.,1,1
Festuca valesiaca s. l.,Festuca ovina agg.,Festuca ovina agg.,1,1
Ficaria verna s. l.,Ficaria,Ficaria verna s. l.,0,0
Filago arvensis,Filago,Filago arvensis,1,1
Filago minima,Filago,Filago minima,1,1
Filipendula ulmaria,Filipendula,Filipendula ulmaria,1,1
Filipendula vulgaris,Filipendula,Filipendula vulgaris,1,1
Fragaria vesca,Fragaria,Fragaria vesca,0,0
Fragaria viridis,Fragaria,Fragaria viridis,1,1
Fraxinus excelsior,Fraxinus,Fraxinus excelsior,0,0
Galatella linosyris,Galatella,Galatella linosyris,1,1
Galeopsis,Lamiaceae,Galeopsis,0,0
Galeopsis tetrahit agg.,Galeopsis,Galeopsis tetrahit agg.,0,0
Galium album,Galium mollugo agg.,Galium mollugo agg.,1,1
Galium aparine,Galium aparine agg.,Galium aparine agg.,0,0
Galium boreale,Galium,Galium boreale,1,1
Galium glaucum,Galium,Galium glaucum,1,1
Galium mollugo agg.,Galium,Galium mollugo agg.,0,1
Galium palustre agg.,Galium,Galium palustre agg.,1,1
Galium palustre s. str.,Galium palustre agg.,Galium palustre agg.,1,1
Galium pomeranicum,Galium,Galium pomeranicum,1,1
Galium uliginosum,Galium,Galium uliginosum,1,1
Galium verum s. str.,Galium verum agg.,Galium verum agg.,1,1
Genista tinctoria,Genista,Genista tinctoria,0,0
Gentiana cruciata,Gentiana,Gentiana cruciata,1,1
Geranium columbinum,Geranium,Geranium columbinum,0,0
Geranium dissectum,Geranium,Geranium dissectum,0,0
Geranium molle,Geranium,Geranium molle,0,0
Geranium pratense,Geranium,Geranium pratense,1,1
Geranium pusillum,Geranium,Geranium pusillum,0,0
Geranium pyrenaicum,Geranium,Geranium pyrenaicum,0,0
Geranium robertianum s. str.,Geranium robertianum agg.,Geranium robertianum agg.,0,0
Geranium rotundifolium,Geranium,Geranium rotundifolium,0,0
Geranium sanguineum,Geranium,Geranium sanguineum,1,1
Geum rivale,Geum,Geum rivale,1,1
Geum urbanum,Geum,Geum urbanum,0,0
Glechoma hederacea,Glechoma,Glechoma hederacea,1,1
Glyceria fluitans,Glyceria fluitans agg.,Glyceria fluitans agg.,1,1
Glyceria fluitans agg.,Glyceria,Glyceria fluitans agg.,1,1
Gymnadenia conopsea s. str.,Gymnadenia conopsea s. l.,Gymnadenia conopsea s. str.,1,1
Helianthemum canum,Helianthemum,Helianthemum canum,1,1
Helianthemum nummularium s. l.,Helianthemum,Helianthemum nummularium s. l.,1,1
Helichrysum arenarium,Helichrysum,Helichrysum arenarium,1,1
Helictotrichon pratense,Helictotrichon,Helictotrichon pratense,1,1
