id.site,name.plant,name.plant.agg,cover.mean,cover.mean.agg,target.species,target.species.agg,cf,TaxonRank,IsChildTaxonOf,r.all.diagnostic,ffh.lrt,calth.btt,rlg,funct.group
N_HOH,Bromus hordeaceus,Bromus hordeaceus agg.,0.65,0.65,1,1,no,SPE,Bromus hordeaceus agg.,0,1,0,*,grass
N_HOH,Calamagrostis epigejos,Calamagrostis epigejos,5.125,5.125,0,0,no,SPE,Calamagrostis,0,0,0,*,grass
N_HOH,Campanula patula,Campanula patula,0.525,0.525,1,1,no,SPE,Campanula,0,1,0,V,herb
N_HOH,Cerastium semidecandrum,Cerastium semidecandrum,2.625,2.625,1,1,no,SPE,Cerastium,1,1,0,*,herb
N_HOH,Convolvulus arvensis,Convolvulus arvensis,0.625,0.625,0,0,no,SPE,Convolvulus,0,0,0,*,herb
N_HOH,Dianthus deltoides,Dianthus deltoides,0.5,0.5,1,1,no,SPE,Dianthus,0,1,0,V,herb
N_HOH,Festuca ovina agg.,Festuca ovina agg.,0.5,0.5,1,1,no,AG1,Festuca,0,1,0,*,grass
N_HOH,Festuca rubra,Festuca rubra agg.,1.5,1.5,1,1,no,SPE,Festuca rubra agg.,1,1,0,*,grass
N_HOH,Holcus lanatus,Holcus lanatus,0.875,0.875,1,1,no,SPE,Holcus,1,1,0,*,grass
N_HOH,Hypericum perforatum,Hypericum perforatum,0.65,0.65,1,1,no,SPE,Hypericum,0,1,0,*,herb
N_HOH,Linaria vulgaris,Linaria vulgaris,0.025,0.025,0,0,no,SPE,Linaria,0,0,0,*,herb
N_HOH,Luzula multiflora s. str.,Luzula campestris agg.,1,1,1,1,no,SPE,Luzula multiflora s. l.,0,1,0,NA,grass
N_HOH,Myosotis ramosissima,Myosotis ramosissima,0.2,0.2,1,1,no,SPE,Myosotis,0,1,0,*,herb
N_HOH,Phalaris arundinacea,Phalaris arundinacea,0.025,0.025,1,1,no,SPE,Phalaris,0,0,1,*,grass
N_HOH,Poa pratensis agg.,Poa pratensis agg.,0.775,0.775,1,1,no,AGG,Poa,1,1,0,*,grass
N_HOH,Rubus caesius,Rubus caesius,0.5,0.5,0,0,no,SPE,Rubus sect. Caesii,0,0,0,*,wood
N_HOH,Rumex acetosa,Rumex acetosa,5.625,5.625,1,1,no,SPE,Rumex,1,1,0,*,herb
N_HOH,Rumex acetosella s. l.,Rumex acetosella s. l.,0.025,0.025,1,1,no,SPE,Rumex,1,1,0,NA,herb
N_HOH,Rumex thyrsiflorus,Rumex thyrsiflorus,0.125,0.125,1,1,no,SPE,Rumex,0,1,0,*,herb
N_HOH,Silene latifolia subsp. alba,Silene latifolia subsp. alba,1,1,0,0,no,SSP,Silene latifolia,0,0,0,*,herb
N_HOH,Tanacetum vulgare,Tanacetum vulgare,21.875,21.875,0,0,no,SPE,Tanacetum,0,0,0,*,herb
N_HOH,Trifolium arvense,Trifolium arvense,0.125,0.125,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_HOH,Veronica arvensis,Veronica arvensis,0.2,0.2,1,1,no,SPE,Veronica,0,1,0,*,herb
N_HOH,Veronica chamaedrys s. str.,Veronica chamaedrys agg.,0.125,0.125,1,1,no,SPE,Veronica chamaedrys agg.,1,1,0,NA,herb
N_HOH,Vicia tetrasperma,Vicia tetrasperma agg.,0.15,0.15,0,0,no,SPE,Vicia tetrasperma agg.,0,0,0,*,legume
N_HOH,Viola tricolor,Viola tricolor agg.,0.55,0.55,1,1,no,SPE,Viola tricolor agg.,0,1,0,*,herb
N_HOR,Achillea millefolium agg.,Achillea millefolium agg.,2.525,2.525,1,1,no,AGG,Achillea,1,1,0,*,herb
N_HOR,Agrostis capillaris,Agrostis capillaris,2.5,2.5,1,1,no,SPE,Agrostis,1,1,0,*,grass
N_HOR,Agrostis stolonifera agg.,Agrostis stolonifera agg.,9.375,9.375,1,1,no,AGG,Agrostis,1,0,0,*,grass
N_HOR,Artemisia vulgaris,Artemisia vulgaris agg.,0.025,0.025,0,0,no,SPE,Artemisia vulgaris agg.,0,0,0,*,herb
N_HOR,Bromus hordeaceus,Bromus hordeaceus agg.,1,1,1,1,no,SPE,Bromus hordeaceus agg.,0,1,0,*,grass
N_HOR,Cerastium holosteoides,Cerastium fontanum agg.,1.525,1.525,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
N_HOR,Crepis capillaris,Crepis capillaris,0.875,0.875,1,1,no,SPE,Crepis,0,1,0,*,herb
N_HOR,Elymus repens s. str.,Elymus repens s. str.,26.25,26.25,0,0,no,SPE,Elymus,0,0,0,NA,grass
N_HOR,Erigeron acris s. l.,Erigeron acris s. l.,0.125,0.125,1,1,no,AGG,Erigeron,0,1,0,*,herb
N_HOR,Erigeron canadensis,Erigeron canadensis,2.15,2.15,0,0,no,SPE,Erigeron,0,0,0,nb,herb
N_HOR,Geranium pusillum,Geranium pusillum,1.125,1.125,0,0,no,SPE,Geranium,0,0,0,*,herb
N_HOR,Hieracium pilosella,Hieracium pilosella,0.025,0.025,1,1,no,SPE,Hieracium subg. Pilosella,1,1,0,*,herb
N_HOR,Holcus lanatus,Holcus lanatus,2.5,2.5,1,1,no,SPE,Holcus,1,1,0,*,grass
N_HOR,Hypericum perforatum,Hypericum perforatum,1.025,1.025,1,1,no,SPE,Hypericum,0,1,0,*,herb
N_HOR,Hypochaeris radicata,Hypochaeris radicata,0.15,0.15,1,1,no,SPE,Hypochaeris,1,1,0,*,herb
N_HOR,Leucanthemum vulgare agg.,Leucanthemum vulgare agg.,0.125,0.125,1,1,no,AGG,Leucanthemum,1,1,0,*,herb
N_HOR,Myosotis ramosissima,Myosotis ramosissima,0.15,0.15,1,1,no,SPE,Myosotis,0,1,0,*,herb
N_HOR,Rumex acetosella s. l.,Rumex acetosella s. l.,0.125,0.125,1,1,no,SPE,Rumex,1,1,0,NA,herb
N_HOR,Silene latifolia subsp. alba,Silene latifolia subsp. alba,0.75,0.75,0,0,no,SSP,Silene latifolia,0,0,0,*,herb
N_HOR,Taraxacum sect. Ruderalia,Taraxacum sect. Ruderalia,0.5,0.5,1,1,no,SEC,Taraxacum,1,1,0,*,herb
N_HOR,Trifolium arvense,Trifolium arvense,1.125,1.125,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_HOR,Trifolium campestre,Trifolium campestre,1.025,1.025,1,1,no,SPE,Trifolium,0,1,0,*,legume
N_HOR,Veronica arvensis,Veronica arvensis,0.4,0.4,1,1,no,SPE,Veronica,0,1,0,*,herb
N_HOR,Vicia angustifolia s. l.,Vicia sativa agg.,0.625,0.625,0,1,no,AGG,Vicia sativa agg.,0,0,0,NA,legume
N_HOR,Vicia hirsuta,Vicia hirsuta,0.2,0.2,0,0,no,SPE,Vicia,0,0,0,*,legume
N_HOR,Viola arvensis,Viola tricolor agg.,0.275,0.275,0,1,no,SPE,Viola tricolor agg.,0,0,0,*,herb
N_HOY,Cerastium holosteoides,Cerastium fontanum agg.,0.175,0.175,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
N_HOY,Crepis capillaris,Crepis capillaris,0.15,0.15,1,1,no,SPE,Crepis,0,1,0,*,herb
N_HOY,Crepis tectorum,Crepis tectorum,0.025,0.025,0,0,no,SPE,Crepis,0,0,0,*,herb
N_HOY,Dactylis glomerata s. str.,Dactylis glomerata agg.,7,7,1,1,no,SPE,Dactylis glomerata agg.,0,1,0,NA,grass
N_HOY,Festuca arundinacea,Festuca arundinacea,13.375,13.375,0,0,no,SPE,Festuca,0,0,0,*,grass
N_HOY,Festuca pratensis s. str.,Festuca pratensis s. str.,21.75,21.75,1,1,no,SPE,Festuca pratensis s. l.,0,1,0,NA,grass
N_HOY,Hypochaeris radicata,Hypochaeris radicata,0.125,0.125,1,1,no,SPE,Hypochaeris,1,1,0,*,herb
N_HOY,Lolium perenne,Lolium perenne,19.375,19.375,1,1,no,SPE,Lolium,1,0,0,*,grass
N_HOY,Persicaria amphibia,Persicaria amphibia,0.15,0.15,0,0,no,SPE,Persicaria,0,0,0,*,herb
N_HOY,Phleum pratense agg.,Phleum pratense agg.,1,1,1,1,no,AGG,Phleum,1,1,0,*,grass
N_HOY,Trifolium pratense,Trifolium pratense,1.625,1.625,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_HOY,Trifolium repens,Trifolium repens,10.625,10.625,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_HOY,Tripleurospermum perforatum,Tripleurospermum maritimum agg.,0.15,0.15,0,0,no,SPE,Tripleurospermum maritimum agg.,0,0,0,*,herb
N_HOY,Veronica arvensis,Veronica arvensis,0.07500000000000001,0.07500000000000001,1,1,no,SPE,Veronica,0,1,0,*,herb
N_ISE,Achillea millefolium agg.,Achillea millefolium agg.,2.65,2.65,1,1,no,AGG,Achillea,1,1,0,*,herb
N_ISE,Agrostis capillaris,Agrostis capillaris,14.875,14.875,1,1,no,SPE,Agrostis,1,1,0,*,grass
N_ISE,Bromus hordeaceus,Bromus hordeaceus agg.,0.25,0.25,1,1,no,SPE,Bromus hordeaceus agg.,0,1,0,*,grass
N_ISE,Cerastium glomeratum,Cerastium glomeratum,0.125,0.125,0,0,no,SPE,Cerastium,0,0,0,*,herb
N_ISE,Cerastium holosteoides,Cerastium fontanum agg.,1.025,1.025,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
N_ISE,Cirsium arvense,Cirsium arvense,0.125,0.125,0,0,no,SPE,Cirsium,0,0,0,*,herb
N_ISE,Dactylis glomerata s. str.,Dactylis glomerata agg.,8.625,8.625,1,1,no,SPE,Dactylis glomerata agg.,0,1,0,NA,grass
N_ISE,Elymus repens s. str.,Elymus repens s. str.,0.625,0.625,0,0,no,SPE,Elymus,0,0,0,NA,grass
N_ISE,Festuca pratensis s. str.,Festuca pratensis s. str.,0.5,0.5,1,1,no,SPE,Festuca pratensis s. l.,0,1,0,NA,grass
N_ISE,Festuca rubra,Festuca rubra agg.,35,35,1,1,no,SPE,Festuca rubra agg.,1,1,0,*,grass
N_ISE,Holcus lanatus,Holcus lanatus,8.625,8.625,1,1,no,SPE,Holcus,1,1,0,*,grass
N_ISE,Hypochaeris radicata,Hypochaeris radicata,2,2,1,1,no,SPE,Hypochaeris,1,1,0,*,herb
N_ISE,Phleum pratense agg.,Phleum pratense agg.,0.75,0.75,1,1,no,AGG,Phleum,1,1,0,*,grass
N_ISE,Plantago lanceolata,Plantago lanceolata,8.125,8.125,1,1,no,SPE,Plantago,1,1,0,*,herb
N_ISE,Poa pratensis agg.,Poa pratensis agg.,7,7,1,1,no,AGG,Poa,1,1,0,*,grass
N_ISE,Poa trivialis s. l.,Poa trivialis s. l.,0.125,0.125,1,1,no,SPE,Poa,1,1,0,NA,grass
N_ISE,Rumex acetosa,Rumex acetosa,0.125,0.125,1,1,no,SPE,Rumex,1,1,0,*,herb
N_ISE,Scorzoneroides autumnalis,Scorzoneroides autumnalis,0.625,0.625,1,1,no,SPE,Scorzoneroides,1,1,0,*,herb
N_ISE,Stellaria graminea,Stellaria graminea,0.025,0.025,1,1,no,SPE,Stellaria,1,1,0,*,herb
N_ISE,Tanacetum vulgare,Tanacetum vulgare,9.375,9.375,0,0,no,SPE,Tanacetum,0,0,0,*,herb
N_ISE,Taraxacum sect. Ruderalia,Taraxacum sect. Ruderalia,1.75,1.75,1,1,no,SEC,Taraxacum,1,1,0,*,herb
N_ISE,Trifolium dubium,Trifolium dubium agg.,0.25,0.25,1,1,no,SPE,Trifolium dubium agg.,0,1,0,*,legume
N_ISE,Veronica arvensis,Veronica arvensis,0.175,0.175,1,1,no,SPE,Veronica,0,1,0,*,herb
N_JAS,Achillea millefolium agg.,Achillea millefolium agg.,1.125,1.125,1,1,no,AGG,Achillea,1,1,0,*,herb
N_JAS,Alopecurus pratensis,Alopecurus pratensis,0.25,0.25,1,1,no,SPE,Alopecurus,1,1,0,*,grass
N_JAS,Arrhenatherum elatius,Arrhenatherum elatius,1.5,1.5,1,1,no,SPE,Arrhenatherum,1,1,0,*,grass
N_JAS,Centaurea jacea agg.,Centaurea jacea agg.,5,5,1,1,no,AGG,Centaurea,0,1,0,*,herb
N_JAS,Cerastium glomeratum,Cerastium glomeratum,0.125,0.125,0,0,no,SPE,Cerastium,0,0,0,*,herb
N_JAS,Cerastium holosteoides,Cerastium fontanum agg.,0.125,0.125,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
N_JAS,Dactylis glomerata s. str.,Dactylis glomerata agg.,7,7,1,1,no,SPE,Dactylis glomerata agg.,0,1,0,NA,grass
N_JAS,Elymus repens s. str.,Elymus repens s. str.,0.25,0.25,0,0,no,SPE,Elymus,0,0,0,NA,grass
N_JAS,Equisetum palustre,Equisetum palustre,0.025,0.025,1,1,no,SPE,Equisetum,1,0,1,*,herb
N_JAS,Festuca ovina agg.,Festuca ovina agg.,3.5,3.5,1,1,no,AG1,Festuca,0,1,0,*,grass
N_JAS,Festuca pratensis s. str.,Festuca pratensis s. str.,0.125,0.125,1,1,no,SPE,Festuca pratensis s. l.,0,1,0,NA,grass
N_JAS,Festuca rubra,Festuca rubra agg.,37.5,37.5,1,1,no,SPE,Festuca rubra agg.,1,1,0,*,grass
N_JAS,Galium mollugo agg.,Galium mollugo agg.,12.875,12.875,0,1,no,AGG,Galium,0,0,0,*,herb
N_JAS,Galium verum s. str.,Galium verum agg.,1.525,1.525,1,1,no,SPE,Galium verum agg.,1,1,0,NA,herb
N_JAS,Geranium pusillum,Geranium pusillum,0.025,0.025,0,0,no,SPE,Geranium,0,0,0,*,herb
N_JAS,Glechoma hederacea,Glechoma hederacea,0.125,0.125,1,1,no,SPE,Glechoma,0,1,0,*,herb
N_JAS,Holcus lanatus,Holcus lanatus,2.525,2.525,1,1,no,SPE,Holcus,1,1,0,*,grass
N_JAS,Hypericum perforatum,Hypericum perforatum,0.125,0.125,1,1,no,SPE,Hypericum,0,1,0,*,herb
N_JAS,Lathyrus pratensis,Lathyrus pratensis,0.5,0.5,1,1,no,SPE,Lathyrus,1,1,0,*,legume
N_JAS,Leucanthemum vulgare agg.,Leucanthemum vulgare agg.,0.125,0.125,1,1,no,AGG,Leucanthemum,1,1,0,*,herb
N_JAS,Lolium perenne,Lolium perenne,7.5,7.5,1,1,no,SPE,Lolium,1,0,0,*,grass
N_JAS,Lotus corniculatus,Lotus corniculatus agg.,6,6,1,1,no,SPE,Lotus corniculatus agg.,0,1,0,*,legume
N_JAS,Medicago lupulina,Medicago lupulina,0.5,0.5,1,1,no,SPE,Medicago,0,1,0,*,legume
