id.site,site.type,hydrology,region,fg.ratio,fg.ratio.std,rest.meth,land.use.hist,rest.age,rest.age.std,cover.grass,cover.forbs,cover.legumes,tot.hill.0,tot.hill.1,target.hill.0,target.hill.1,fcsi.hill.0
N_NLG,restored,moist,north,0.109,-0.9398776389890908,res,arable land,9,-0.17804883224323856,93.75,0.175,10,19,8.317445673945006,18,8.306082552198356,2.917770732084279
N_OCH,restored,dry,north,3.32,2.721206418581279,dih,grassland,5,-0.6618041500361889,13.75,45,0.65,45,11.02078983484427,34,7.809808840314288,3.528808506254802
N_OLE,negative,fresh,north,0.239,-0.7916556123668086,NA,NA,NA,NA,83.75,20,0.025,11,3.3698290581287837,10,3.134365383483309,2.3513752571634776
N_PAN,restored,fresh,north,0.837,-0.10983428990431066,res,arable land,5,-0.6618041500361889,61.25,32.5,18.75,28,6.8537917604234915,25,6.664789405139429,3.228826155721369
N_PEV,restored,dry,north,0.853,-0.09159157893541436,dih,grassland,3,-0.903681808932664,56.25,38.75,9.25,48,10.41154661904998,39,6.623707572796183,3.66612246699132
N_PFE,restored,moist,north,0.101,-0.948998994473539,mga,grassland,NA,NA,88,8.75,0.175,25,6.39994905707351,23,6.311104181880259,3.14988295338125
N_RAD,negative,moist,north,0.102,-0.9478588250379829,NA,NA,NA,NA,77.5,7.75,0.175,29,7.369043761657214,27,6.388738681139964,3.3081069585961433
N_RET,restored,moist,north,0.441,-0.5613413863844933,mga,grassland,3,-0.903681808932664,73.75,32.5,0.037500000000000006,27,6.0246909099130015,26,5.972344603172888,3.277144732992177
N_SCH,positive,moist,north,1.857,1.0531385343628266,NA,NA,NA,NA,35,48.75,16.25,44,14.097971772542218,41,12.890052786119991,3.71965111278069
N_SMG,negative,fresh,north,0.002,-1.0618757685935847,NA,NA,NA,NA,100,0.1,0.07500000000000001,15,4.467815098957835,8,3.270503812946332,2.094945728215801
N_STA,restored,fresh,north,0.135,-0.9102332336646344,cus,arable land,17,0.789461803342662,71.25,2.125,7.5,24,3.8026368319247585,16,2.1979906572541927,2.779509165084355
N_STE,positive,moist,north,0.412,-0.5944063000156177,NA,NA,NA,NA,85,35,0.025,26,7.65337935925419,22,7.419122985234012,3.100092288878234
N_TAN,restored,fresh,north,0.471,-0.5271363033178128,mga,grassland,3,-0.903681808932664,81.25,30,8.25,41,17.12648464988326,32,15.41085679103051,3.4688560301359703
N_TAS,restored,fresh,north,0.051,-1.0060074662513396,cus,arable land,6,-0.5408653205879513,91,4.5,0.15,18,5.9062045690885725,14,4.371101077364478,2.653241964607215
N_TRI,negative,fresh,north,0.079,-0.9740827220557714,NA,NA,NA,NA,77.5,5.625,0.525,33,6.399076299173557,26,5.198254404622526,3.262892710284975
N_TUT,restored,dry,north,0.713,-0.25121529991325675,mga,arable land,3,-0.903681808932664,50,28.75,6.875,31,9.616091623255274,20,7.442132323551274,2.9998902837026544
N_UET,negative,fresh,north,0.369,-0.6434335857445265,NA,NA,NA,NA,68.75,21.75,3.625,26,9.170398308250936,22,8.635820879200693,3.100092288878234
N_VIE,positive,dry,north,0.873,-0.06878819022429401,NA,NA,NA,NA,57.5,47.5,2.675,33,9.197038109438848,27,8.866973558926984,3.3011139231051727
N_VOG,restored,moist,north,0.064,-0.9911852635891116,dih,arable land,5,-0.6618041500361889,98,6.275,0,24,2.957935111407409,16,2.091156610683768,2.779509165084355
N_WAL,restored,moist,north,0.586,-0.39601681822887086,dih,grassland,8,-0.29898766169147617,71.25,21.25,20.5,48,15.668632944357713,38,13.082241015414592,3.639975647123767
N_WEN,restored,dry,north,0.17,-0.8703273034201737,dih,grassland,5,-0.6618041500361889,82.5,13.75,0.3,32,4.581599509874114,29,4.109364188553392,3.3758795736778655
N_WER,positive,moist,north,0.611,-0.3675125823399704,NA,NA,NA,NA,66.25,31.75,8.75,45,16.67566778464003,41,14.36509954904782,3.7184382563554808
N_WIZ,positive,dry,north,1.496,0.6415373681271044,NA,NA,NA,NA,28.75,40,3,35,12.388632402917434,27,10.219765966088872,3.2999436479569826
N_ZDF,restored,fresh,north,0.285,-0.7392078183312318,res,arable land,5,-0.6618041500361889,76.25,11.25,10.5,28,8.420673231684814,27,8.296499868831798,3.3141860046725258
S_ACR,restored,dry,south,1.046,0.12846112212689695,dih,grassland,24,1.6360336094803252,43.75,36,9.75,69,24.97827592030503,65,23.17814252364279,4.177459468932607
S_AFR,restored,fresh,south,0.646,-0.32760665209550976,res,grassland,7,-0.4199264911397137,61.25,15.25,24.3125,36,14.57338983859391,31,14.126484273788853,3.439349147626532
S_AMP,positive,moist,south,0.903,-0.03458310715761348,NA,NA,NA,NA,54.25,33,16,53,25.50250121354651,48,24.37948672848939,3.874667218884377
S_AUH,restored,dry,south,2.793,2.1203371260432586,dih,arable land,26,1.8779112683768002,21.75,54,6.75,66,27.511346264432504,60,25.88800504136308,4.096722684627069
S_AUL,restored,fresh,south,0.463,-0.5362576588022608,res,arable land,NA,NA,60.5,9.75,18.25,42,12.54768351479603,38,12.222416198333187,3.6428355156125294
S_BUC,restored,dry,south,0.714,-0.2500751304777007,dih,arable land,8,-0.29898766169147617,55,23,16.25,50,18.461147286437583,45,18.03850336688958,3.8103593516516456
S_DIE,negative,dry,south,0.135,-0.9102332336646344,NA,NA,NA,NA,92.75,12.5,0,20,7.666298326015576,19,7.654106230989504,2.970414465569701
S_ECH,restored,dry,south,2.461,1.7418008734386605,res,arable land,10,-0.05711000279500098,28.75,58.75,12,63,25.58518566997117,61,24.564701378007612,4.116323468940876
S_EIT,positive,fresh,south,0.679,-0.2899810607221612,NA,NA,NA,NA,58.75,38.75,1.125,32,14.687058809828711,31,14.66584248192096,3.449987545831587
S_FCH,restored,fresh,south,1.325,0.4465683946470255,dih,grassland,23,1.5150947800320875,40,41.25,11.75,49,23.838778483765932,41,22.188365598623776,3.7162784283020502
S_FHZ,restored,moist,south,0.04,-1.018549330042456,dih,arable land,17,0.789461803342662,91.5,3.25,0.425,43,15.767855845257063,38,14.228227884213185,3.641962534326185
